NameDeposit	OtherNames	CountryCode	Country	StateProvince	LatitudeSeconds	LatitudeMinutes	LatitudeDegrees	LongitudeSeconds	LongitudeMinutes	LongitudeDegrees	LongitudeDecimal	LatitudeDecimal	Type	DiscoveryDate	StartupDate	Includes	Prospect?	Comments	Map Number	AgeMY	Tonnage	Copper grade	Molybdenum grade	Silver grade	Gold grade	References	Minerals	Deposit Age	Assoc Deposits less 5km	Assoc Deposits less 10km	RocksinDeposit	RocksOnMap	RocksOnMapInDeposit	EmplacementDepthkm	SulfideArea	SulfideBAxis	SulfideAAxis	AlterAAxis	AlterBAxix	AlterArea	OreArea	OreAAxis	OreBAxis
Spence 		CILE	Chile		-21	-41	-22	-53	-10	-69	-69.18138889	-22.68916667	17	1995	2004		 	100% of the deposit area is covered by gravel _200 m thick. Cu enrichment age 14 Ma.	289	57.5	400	1	0	0	0	"Anonymous, 1993, Chile: Engineering and Mining Journal, August, p. 20.Anonymous, 1997, Rio Algom discovers copper in Chilean desert: The Northern Miner, January 20, p. 1.http://www.rioalgom.com/copperset.htmlG.E. McKelvey, written commun. (1998).Sillitoe, R.H., 2000, Exploration and discovery of base-metal deposits in the Circum-Pacific region – a late 1990s update (Spence, Chile, p. 6–7): Resource Geology Special issue no. 21, Society of Resource Geology, Tokyo, 61 p. Zappettini, E., Miranda-Angles, V., Rodriges, C.S., Palacios, O., Cocking, R., Godeas, M., Uribe-Zeballos, H., Vivallo, A.S., Paz, M.M., Seggiaro, P., Heuschmidt, B., Gardeweg, M., Boulangger, E., Korzeniewski, L.I., Mpodozis, C.M., Carpio, M., Rubiolo, D., 2001, Mapa metalogénico de la región fronteriza entre Argentina, Bolivia, Chile y Perú (14ºS y 28ºS): Servicio Nacional de Geología y Minería, Publicacion Geológica Multinacional No. 2, Santiago de Chile, escala 1:1000000,  222 p., 1 map. "	"atacamite, bornite, brochantite, chalcocite, chalcopyrite, chlorite, chrysocolla, covellite, cuprite, epidote, goethite/limonite, hematite/specularite, jarosite, molybdenite, pyrite, sericite "	58–57		17	"breccia, granodiorite porphyry, monzogranite porphyry, quartz monzonite porphyry"		"andesite, dacite, diorite, granodiorite, tuff"										
Ticnámar		CILE	Chile		-36	-35	-18		-27	-69	-69.45	-18.59333333	17						275		500	0.2	0	0	0	"Sillitoe, R.H., 1981, Regional aspects of the Andean porphyry copper belt in Chile and Argentina: Applied Earth Science, Institution of Mining and Metallurgy Transactions, Section B, v. 90. p. B15–B36. Zappettini, E., Miranda-Angles, V., Rodriges, C.S., Palacios, O., Cocking, R., Godeas, M., Uribe-Zeballos, H., Vivallo, A.S., Paz, M.M., Seggiaro, P., Heuschmidt, B., Gardeweg, M., Boulangger, E., Korzeniewski, L.I., Mpodozis, C.M., Carpio, M., Rubiolo, D., 2001, Mapa metalogénico de la región fronteriza entre Argentina, Bolivia, Chile y Perú (14ºS y 28ºS): Servicio Nacional de Geología y Minería, Publicacion Geológica Multinacional No. 2, Santiago de Chile, escala 1:1000000,  222 p., 1 map. "	"chalcocite, chalcopyrite, chlorite, clay minerals, pyrite, sericite"		"22c, 27d"	22c	quartz porphyry		"diorite, granodiorite, monzogranite, sandstone, shale"										
Toki		CILE	Chile			-25	-22		-57	-68	-68.95	-22.41666667	17	1999		Genoveva	Yes	"In the Chuquicamata porphyry copper district. Total identified resources: 1,650 Mt at 0.49% Cu, including: Toki 1,500 Mt @ 0.5% Cu (0.5% Cu cut-off), covered 100% by alluvium; Genoveva 150 Mt @ 0.35% Cu (0.2% Cu cut-off)."	626	36		0	0	0	0	"Faunes, A., Hintze, F., Siaña, A., Veliz, H., Vivanco, M., and Geological Staff of Codelco norte, 2004, Chuquicamata, core of a planetary scale Cu-M0 anomaly (abstract), in Porter, T.M., ed., Super porphyry copper and gold deposits – a global perspective (in press):     Camus, F., 2003, Geología de los sistemas porfíriocos en los Andes de Chile: Servicio Nacional de Geología y Minería, Santiago, Chile, 267 p.     http://www.portergeo.com.au/publishing/superporphyry/Abstract 79asp.asp Cabello, J., 2002, Copper exploration in the Central Andes: a review: BHP Billiton, Chile, 7 p., www.metabulletin.com/speakerpaper/copper/presentations/bhpbilliton.pdf Cabello, J., 2003, Thirty-three years of exploration in the Central Andes: a success history: BHP Billiton Minerals, 22 p., www.proexplo.com.pe/conferencias/2003/JCabello.pdf"	"atacamite, biotite, bornite, carbonate, chalcocite, chalcopyrite, chlorite, chrysocolla, covellite, epidote, galena, goethite, hematite, jarosite, limonite, malachite, pyrite, sericite, sphalerite, tenorite"	37.5–35	17 (2)		"breccia, dacite porphyry, diorite porphyry, rhyolite porphyry"		"andesite, diorite, metasedimentary rocks, tonalite"										
Turbio		CILE	Chile			-2	-46		-9	-72	-72.15	-46.03333333	17				Yes		312			0	0	0	0	"Candia, W., Suchomel, B., Kakarieka, A., and Oates, C., 1994, Turbio, un sistema tipo porfido cuprifero en la Cordillera Castillo, Aysen: 7th Congreso Geologico Chileno, Actas, v. 2, p. 751–755. "	"biotite, calcite, chalcopyrite, chlorite, Cu-oxides, epidote, magnetite, molybdenite, pyrite, sericite, zeolite"				"breccia, granodiorite porphyry, quartz diorite porphyry, rhyodacite porphyry"		"andesite, andesitic tuffite, carbonate rock, rhyolite, shale, tuff"					3.5	3.5	9.6			
Ujina		CILE	Chile		-46	-59	-20	-18	-36	-68	-68.605	-20.99611111	17	1978				Cu enrichment age: 15 Ma. 100% of the deposit area is covered by gravel and ignimbrite as much as 100 m thick.	282	35	1298	0.71	0	0	0	"Bisso, C.B., Duran, M., and Gonzales, A.A., 1998, Geology of the Ujina and Rosario copper porphyry deposits, Collanhuasi district, Chile, in  Porter, T.M., ed., Porphyry and hydrothermal copper and gold deposits, a global perspective: Australian Mineral Foundation, Glenside, South Australia, p. 217–232. De Beer, L.J., and Dick, L.A., 1997, Development of the Collahuasi copper deposits—a world-class copper project in the Andes of northern Chile: Mining Latin America, The Institution of Mining and Metallurgy, London, p. 181–195. Dick, L.A., Chavez, W.X., Jr., Gonzales, A., and Bisso, C., 1994, Geologic setting and mineralogy of the Cu-Ag (As) Rosario vein system, Collahuasi district, Chile: SEG (Society of Economic Geologists) Newsletter, no. 19, p. 1, 6-11.Long, K.R., 1995, Production and reserves of Cordilleran (Alaska to Chile) porphyry copper deposits, in Pierce, F.W., and Bolm, J.G., eds., Porphyry copper deposits of the American Cordillera:  Tucson, Arizona Geological Society Digest 20, p. 35–68.  Masterman,  G.J., Cooke, D.R., Berry, R.F., Clark, A.H., Archibald, D.A., Mathur, R., Walshe, J.L., and DuránM., 2004, 40Ar/39Ar and Re-Os geochronology of porphyry copper-molybdenum deposits and related copper-silver veins in the Collahuasi district, Northern Chile: Economic Geology, v. 99, p. 673–690. Moore, R.L., and Masterman, G.J., 2002, The corporate discovery history and geology of the Collahuasi porphyry copper deposits, Chile, in Cooke, D.R., and Pongratz, J., eds., Giant ore deposits: Characteristics, genesis and exploration: CODES Special Publication 4, p. 23–50. Sillitoe, R.H., 1996, Age of supergene oxidation and enrichment in the Chilean porphyry copper province: Economic Geology, v. 91, p. 164–179.Sillitoe, R.H., 1995, Exploration and discovery of base- and precious-metal deposits in the Circum-Pacific region during the last 25 years (Collahuasi, Chile, p. 7–9): Resource Geology Special Issue no. 19, Tokyo, 119 p.Zappettini, E., Miranda-Angles, V., Rodriges, C.S., Palacios, O., Cocking, R., Godeas, M., Uribe-Zeballos, H., Vivallo, A.S., Paz, M.M., Seggiaro, P., Heuschmidt, B., Gardeweg, M., Boulangger, E., Korzeniewski, L.I., Mpodozis, C.M., Carpio, M., Rubiolo, D., 2001, Mapa metalogénico de la región fronteriza entre Argentina, Bolivia, Chile y Perú (14ºS y 28ºS): Servicio Nacional de Geología y Minería, Publicacion Geológica Multinacional No. 2, Santiago de Chile, escala 1:1000000,  222 p., 1 map.  "	"albite, alunite, biotite, bornite, chalcocite, chalcopyrite, chlorite, chrysocolla, copper, covellite, cuprite, Cu-wad, enargite, hematite, kaolinite, malachite, montmorillonite, pyrite, sericite, tennantite"	35	17 (2)	"cu-au and Cu-Ag veins, exotic Cu, 39a"	"dacite porphyry, granodiorite porphyry"		"carbonaceous shale, diorite porphyry, granodiorite, quartz diorite porphyry, sandstone"					3.5	3.2	8.8	1		
Vizcachitas		CILE	Chile			-53	-32		-14	-70	-70.23333333	-32.88333333	21a					0.3% cut-off grade.	625		1141	0.42	0.014	0	0	"Lumina Copper Corporation, 2004, Vizcachitas property: 2 p., http://www.luminacopper.com/s/VizcachitasProperty.aspMaksaev, V.J., 2001, Reseña metalogenica de Chile y de los procesos que determinan la metalogenesis Andina, 63 p.: http://cipres.cec.uchile.cl/~vmaksaev/Metalog%e9nesis.html"	"chalcocite, chalcopyrite, molybdenite, pyrite"	Late Miocene?					"chert, granodiorite, limestone, quartz monzonite, quartzite, shale, siltstone"										
Anjishan		CINA	China	Jiangsu		4	32		6	119	119.1	32.06666667	17					"Intermediate resources. Silver grade 10.5 ppm, copper grade 0.76% Cu, gold grade 0.05 ppm Au."	472	114.5			0		 	"Pan, Y., and Dong, P., 1999, The Lower Changjiang (Yangzi/Yangtze River) metallogenic belt, east central China: intrusion- and wall rock-hosted Cu–Fe–Au, Mo, Zn, Pb, Ag deposits: Ore Geology Reviews, v. 15, p. 177–242."	"actinolite, anhydrite, azurite/malachite, barite, bornite, chalcocite, chalcopyrite, chlorite, copper, covellite, epidote, fluorite, galena, hematite, kaolinite, magnetite, molybdenite, muscovite/sericite, pyrite, pyrrhotite, sphalerite "	106–123	18b	19a	skarn		"gneiss, granodiorite, quartzite, schist"										
Bainamiao		CINA	China	Inner Mongolia		47	41		29	112	112.4833333	41.78333333	17					High grades of Au and Mo have been noted.	465	459	41	0.91	0	0	0	"Chen, W., Tang, Z., 1993, The relationship between the formation of the copper–molybdenum deposits and the crustal evolution in China: Resource Geology Special Issue, no. 15, p. 19–30.Fengjun, N., Sihong, J., Yi, Z., Yan, L., and Peng, H., 2004, Geological features of porphyry copper deposits in China-Mongolia border region and its neighbouring areas: Mineral Deposits, v. 23, no. 6, p. 176–189 (in Chinese, English abstract).Nokleberg, W.J., Bounaeva, T.V., Miller, R.J., Seminskiy, Z.V., and Diggles, M.F., eds., 2003, Significant metalliferous and selected non-metalliferous lode deposits, and selected placer districts for Northeast Asia: United States Geological Survey Open-File Report 03-220, Version 1.0, CD-ROM.Zhang, H., and Rui, Z., 1992, Geologic setting of the porphyry copper deposits series of China:  Acta Geologica Sinica, v. 5, no. 1, p. 59–73. Zhang, H., Pei, R., and Wu, L., 1993, Evolution of the porphyry copper deposits from Proterozoic to Cenozoic Era in China:  Proceedings of the 29th International Geological Congress 1992, Mineral Resources Symposia Volume A, Resource Geology Special Issue, no. 15, Tokyo, p. 55–65."	"biotite, chalcopyrite, chlorite, epidote, gold, molybdenite, pyrite, sericite"	459±2	au veins		granodiorite porphyry 	"granulite, hornblendite, schist"	"andesite, basalt, volcanic-sedimentary rocks"		8.2	1.5	7						
Changanchong		CINA	China	Yunnan		48	22		0	103	103	22.8	17			Jingpingtong- chang	Yes	"Yulong-Yunnan porpyry copper (molybdenum) belt. 266.6 Kt Cu(?) at 1.42% Cu. According to Tywhitt (1996), this probably is the Tong Chang deposit with 20 Mt at 1% Cu. "	604			0	0	0	0	"Tyrwhitt, D., 1996, Porphyry copper-gold deposits of the Indo China Region, in Porphyry related copper and gold deposits of the Asia Pacific region: Conference Proceedings, Australian Mineral Foundation, Glenside, South Australia, p. 5.1– 5.4. Xiao, Keyan, 2003, Personal communication."	"chalcopyrite, molybdenite, pyrite"						"basalt, granite, granodiorite, limestone, sandstone"										
Chengmenshan		CINA	China	Jiangxi		40	29		50	115	115.8333333	29.66666667	17						467	119	227	0.76	0.047	9.9	0.25	"Ge, C., Sun, H., and Zhou, T., 1990,  Copper deposits of China, in Mineral deposits of China, Volume 1: Geological Publishing House, Beijing, p. 1–106.Huang, E., Zhang, N., and Luo, Z.,  1990,  The genesis of the Chengmenshan and Wushan copper deposits: Mineral Deposits, v. 9, no. 4, p. 291–300 (in Chinese, English abstract).Metal Mining Agency of Japan, 1998, List of the metallic mineral deposits in Asia: Metal Mining Agency of Japan, 43 p.Pan, Y., and Dong, P., 1999, The Lower Changjiang (Yangzi/Yangtze River) metallogenic belt, east central China: intrusion- and wall rock-hosted Cu–Fe–Au, Mo, Zn, Pb, Ag deposits: Ore Geology Reviews, v. 15, p. 177–242.Qui, X., Pei, R., Kejian, J., and Wu, X., 1989,  Geological characteristics of copper mineralization, Jiujiang-Ruichang Area, Jiangxi province, China: Chinese Journal of Geochemistry, v. 8, no. 3, p. 228–244.Zhang, H., and Rui, Z., 1992,  Geologic setting of the porphyry copper deposits series of China:  Acta Geologica Sinica, v. 5, no. 1, p. 59–73."	"actinolite, argentite, biotite, bornite, carbonate, chalcocite, chalcopyrite, chlorite, covellite, epidote, galena, garnet, gold, hematite, kaolinite, marcasite, molybdenite, pyrite, pyrrhotite, sericite, sphalerite, tetrahedrite/tennantite"	118–120	18b	17	"andesite porphyry, breccia, granodiorite porphyry, monzogranite porphyry, quartz monzonite porphyry, quartz porphyry, skarn, tonalite porphyry"		"diorite, granodiorite, quartz diorite, quartz monzonite"								0.38	0.8	0.6
Chihu		CINA	China	Xinjiang		12	42		58	92	92.96666667	42.2	17				Yes	"Eastern Tianshan porphyry copper-gold belt. Small deposit, grade: 0.4% Cu, 0.03% Mo."	588	~350		0	0	0	0	"Han, C., and Zhao, G., 2003, Major types and characteristics of Late Paleozoic ore deposits, east Tianshan, northwest China: International Geology Review, v. 45, p. 798–813.Qin, K., Sun, S., Li, J., Fang, T., Wang, S., and Liu, W., 2002, Paleozoic epithermal Au and porphyry Cu deposits in northern Xinjiang, China: epochs, features, tectonic linkage and exploration significance: Resource Geology, v. 52, no. 4, p. 291–300.Rui, Z., Wang, L., and Wang, Y., 2002, Porphyry copper deposit models in China: Workshop on Assessing Undiscovered Mineral Resources, June 24–28, Beijing, China, China Geological Survey and U.S. Geological Survey, p. 42–52.Rui Z., Liu, Y., Wang, L., and Wang, Y., 2002, The Eastern Tianshan porphyry copper deposit belt in Xinjiang and its tectonic framework: Acta Geologica Sinica, v. 76, no. 1, p. 83–94 (in Chinese with English abstract). Zhang, L.-C., Xiao, W.-J., Qin, K.-J., Ji, J.-S., Yang. X.-K., 2004, Types, geological features and geodynamic significances of gold-copper deposits in the Kanggurtag metallogenic belt, eastern Tianshan, NW China: International Journal of Earth Sciences, v 93, no. 2, p. 224–240."	"bornite, carbonate, chalcocite, chalcopyrite, chlorite, kaolinite, molybdenite, pyrite, sericite"	Early Devonian to Early Carboniferous		17	diorite porphyry		"argillite, conglomerate, dolomite, gypsum, limestone, marble, mudstone, sandstone, siltstone"										
Chonjiang		CINA	China	Xizhang (Tibet)		35	29		0	90	90	29.58333333	17	2000			yes	Gangdese porphyry copper belt.	583	16.5						"Gao, Y., Hou, Z., Wei, R., and Zhao, R., 2003, Post-collisional adakitic porphyries in Tibet: geochemical and Sr-Nd-Pb isotopic constraints on partial melting of oceanic lithosphere and crust-mantle interaction: Acta Geologica Sinica, v. 77, no. 2, p. 194–203. Hou, Z., Mo, X., Gao, Y., Qu, X., and Meng, X., 2003, Adakite, a possible host rock for porphyry copper deposits: Case studies of porphyry copper belts in Tibetan Plateau and in Northern Chile: Mineral Deposits, v.22, no. 1, p. 1–12 (in Chinese with English abstract). Qu, X., Hou, Z., and Huang, W., 2001, Is Gangdese porphyry copper deposit belt the second “Yulong” copper deposit belt?: Mineral Deposits, v. 20, no. 4, p. 353–366 (in Chinese with English abstract).Rui, Z., Hou, Z., Qu, X., Zhang, L., Wang, L., and Liu, Y., 2003, Metallogenic epoch of Gangdese porphyry copper belt and uplift of Qinghai-Tibet plateau: Mineral Deposits, v. 22, no. 3 p. 217–225 (in Chinese with English abstract).Rui, Z., Wang, L., and Wang, Y., 2002, Porphyry copper deposit models in China: Workshop on Assessing Undiscovered Mineral Resources, June 24–28, Beijing, China, China Geological Survey and U.S. Geological Survey, p. 42–52."	"biotite, bornite, chalcopyrite, chlorite, molybdenite, pyrite, sericite, sphalerite"	17.58±0.74 to 14.85±0.69	17				"andesite, conglomerate, diabase, fanglomerate, limestone, quartzite, schist, volcaniclastic rocks"										
Dexing		CINA	China	Jiangxi		1	29		35	117	117.5833333	29.01666667	17			"Tongchang, Fujiawu, and Zhushahong"			471	159	1760	0.477	0.017	1.9	0.16	"Argall, G.O., Jr., 1981,  Huge Chinese porphyry: Dexing operations and plans:  World Mining, v.34, no. 1, p. 24–28.Chen, C., and Li, G., 1990,  Dexing copper mine: Mining Magazine, v. 162, no. 4, p. 287–288.Fan, P.F., 1984,  Geologic setting of selected copper deposits of China:  Economic Geology, v. 79, p. 1785–1795.  Ge, C., Sun, H., and Zhou, T., 1990,  Copper deposits of China, in Mineral deposits of China, Volume 1: Geological Publishing House, Beijing, p. 1–106.He, W., Bao, Z., and Li, T., One-dimensional reactive transport models of alteration in the Tongchang porphyry copper deposit, Dexing district, Jiangxi province, China:  Economic Geology, v. 94, no. 3, p. 307–321.  Metal Mining Agency of Japan, 1998, List of the metallic mineral deposits in Asia: Metal Mining Agency of Japan, 43 p.Rui, Z., Wang, L., and Wang, Y., 2002, Porphyry copper deposit models in China: Workshop on Assessing Undiscovered Mineral Resources, June 24–28, Beijing, China, China Geological Survey and U.S. Geological Survey, p. 42–52.Yan, M.-Z., and Hu, K., 1980, Geological characteristics of the Dexing porphyry copper deposits, Jiangxi, China, in Ishihara, S., and Takenouchi, S., eds., Granitic magmatism and related mineralization: Mining Geology Special Issue, no. 8, p. 197–203.Yu C.-W., 1981,  Mechanisms of ore formation and primary dispersion at the Dexing porphyry copper deposit, Jiangxi, and their implications in geochemical exploration:  Journal of Geochemical Exploration, v. 15, p. 115–137. Zhai, Y., Deng, J., and Peng, R., 1997,  Some major mineral deposits in China: their tectonic setting and deposit model characteristics, in Pei, R., ed., Energy and mineral resources for the 21st century—geology of mineral deposits, mineral economics: Proceedings of the 30th International Geological Congress, Beijing, China, 4-14 August, 1996, v. 9: Utrecht, Netherlands, VSP, p. 367-379. Zhang, H., Pei, R., and Wu, L., 1993,  Evolution of the porphyry copper deposits from Proterozoic to Cenozoic Era in China:  Proceedings of the 29th International Geological Congress 1992, Mineral Resources Symposia Volume A, Resource Geology Special Issue, no. 15, Tokyo, p. 55–65."	"anhydrite/gypsum, ankerite, apatite, azurite/malachite, biotite, bismuthinite, bornite, chalcocite, carbonate, chalcopyrite, chlorite, cubanite, cuprite/tenorite, djurleite, electrum, emplectite, epidote, galena, goethite/limonite, gold, hematite/specularite, kaolinite/illite/dickite, magnetite, malachite, matildite, millerite, molybdenite, muscovite/sericite, pyrite, pyrrhotite, rutile, siegenite, silver, sphalerite, petzite, tennantite, tourmaline"	148–170		17	"breccia, diabase porphyry, diorite porphyry, feldspar porphyry, granodiorite porphyry, hornfels, gabbro, pyroxenite"		"granodiorite, volcanic rocks"					7.5	2	12	0.74	1.1	0.9
Dongga		CINA	China	Xizhang (Tibet)		23	29		23	88	88.38333333	29.38333333	17	2000			Yes	Gangdese porphyry copper belt.	584	14		0	0	0	0	"Hou, Z., Mo, X., Gao, Y., Qu, X., and Meng, X., 2003, Adakite, a possible host rock for porphyry copper deposits: Case studies of porphyry copper belts in Tibetan Plateau and in Northern Chile: Mineral Deposits, v.22, no. 1, p. 1–12 (in Chinese with English abstract). Qu, X., Hou, Z., and Huang, W., 2001, Is Gangdese porphyry copper deposit belt the second “Yulong” copper deposit belt?: Mineral Deposits, v. 20, no. 4, p. 353–366 (in Chinese with English abstract).Rui, Z., Wang, L., and Wang, Y., 2002, Porphyry copper deposit models in China: Workshop on Assessing Undiscovered Mineral Resources, June 24–28, Beijing, China, China Geological Survey and U.S. Geological Survey, p. 42–52."	"biotite, bornite, chalcopyrite, chlorite, molybdenite, pyrite, sericite, sphalerite"	14±2					"granite, monzonite"										
Duobaoshan		CINA	China	Heilongiang		11	50		41	125	125.6833333	50.18333333	17					"Reserve: 3,276,600 t Cu, 122,900 t Mo, 1,417 t Ag, 87 t Au ; 24 t Re at 917 g/t in molybdenum ore and 1,247 kg Os and other PGM."	473	260	700	0.47	0.0147	2.1	0.124	"Du, Q., and Chen, M., 1984, The genetic model of the Duobaoshan porphyry copper deposit, in Janelidze, T.V., and Tvalchrelidze, A.G., eds., Proceedings of the Sixth Quadrennial IAGOD Symposium: E. Schweizerbart’sche Verlagsbuchhandlung, Stuttgart, v. 1, p. 305–314.Fan, P.-F., 1986,  Porphyry copper deposits in East and Southeast Asia: Memoir of the Geological Society of China, no. 7, p. 249–257.Ge, C., Sun, H., and Zhou, T., 1990,  Copper deposits of China, in Mineral deposits of China, Volume 1: Geological Publishing House, Beijing, p. 1–106.Metal Mining Agency of Japan, 1998, List of the metallic mineral deposits in Asia: Metal Mining Agency of Japan, 43 p.Mu, Z., and Liu, C., 1996, Geochronology and geochemical genesis of the Duobaoshan porphyry copper deposits, Heilongjiang province, China (abstract): 30th International Geologic Congress, Abstracts, v.2, Beijing, p. 625.Rui, Z., Wang, L., and Wang, Y., 2002, Porphyry copper deposit models in China: Workshop on Assessing Undiscovered Mineral Resources, June 24–28, Beijing, China, China Geological Survey and U.S. Geological Survey, p. 42–52.Xichen, W., Jinying, L., Chengyu, Z., Fengshan, X., Jun, D., and Dongfeng, T., 2000, Duobaoshan porphyry copper deposit and its associated components: Journal of China University of Geosciences, v. 11, no. 2, p. 175–178."	"actinolite, albite, anhydrite/gypsum, ankerite, argentite, azurite/malachite, biotite, bornite, carbonate, chalcocite, chalcopyrite, chlorite, covellite, diopside, epidote, galena, garnet, gold, magnetite, molybdenite, montmorillonite, muscovite/sericite, pyrite, pyrrhotite, silver, sphalerite, tennantite/tetrahedrite, tenorite, zeolite"	240–280		"17, 18b"	"aplite, breccia, granite porphyry, granodiorite, granodiorite porphyry, hornfels, quartz diorite"		"andesite, andesite breccia, andesite pyroclastics, conglomerate, dacite, diorite, ignimbrite, rhyolite, rhyolite breccia, rhyolite pyroclastics, sandstone, tuffaceous sandstone"					6	1.5	7.1	0.5	1.5	0.4
Duoxiasongduo 		CINA	China	Xizhang (Tibet)		5	31		52	97	97.86666667	31.08333333	21a					Yulong-Yunnan porpyry copper (molybdenum) belt. Exposed.	457	46.5	236	0.38	0.04	0	0.05	"Fan, P.F., 1984,  Geologic setting of selected copper deposits of China:  Economic Geology, v. 79, p. 1785–1795. Ge, C., Sun, H., and Zhou, T., 1990,  Copper deposits of China, in Mineral deposits of China, Volume 1: Geological Publishing House, Beijing, p. 1–106.Gu, X.X., Tang, J.X., Wang, C., Chen, J.P., and He, B.B., 2003, Himalayan magmatism and porphyry copper-molybdenum mineralisation in the Yulong ore belt, East Tibet: Mineralogy and Petrology, v. 78, p. 1–20. Hou, Z., Ma, H., Khin, Z., Zhang, Y., Wang, M., Wang, Z., Pan, G., and Tang, R., 2003, The Himalayan Yulong porphyry copper belt: product of large-scale strike-slip faulting in eastern Tibet: Economic Geology, v. 98, p. 125–145. Rui, Z., Wang, L., and Wang, Y., 2002, Porphyry copper deposit models in China: Workshop on Assessing Undiscovered Mineral Resources, June 24–28, Beijing, China, China Geological Survey and U.S. Geological Survey, p. 42–52.Tang R., and Luo, H., 1995, The geology of Yulong porphyry (molybdenum) copper ore belt, Xizang (Tibet): No. 1 Party of Xizang Bureau of Geology and Mineral Resources, Beijing, Geological Publishing House, 320 p. (in Chinese with English summary). Zhang, H., Pei, R., and Wu, L., 1993,  Evolution of the porphyry copper deposits from Proterozoic to Cenozoic Era in China:  Proceedings of the 29th International Geological Congress 1992, Mineral Resources Symposia Volume A, Resource Geology Special Issue, no. 15, Tokyo, p. 55–65."	"biotite, bornite, chalcopyrite, galena, kaolinite, magnetite, molybdenite, pyrite, sericite, sphalerite "	52–41			"breccia, granite porphyry, hornfels, monzogranite porphyry"	"andesite, andesite agglomerate, rhyolite"	"andesite, andesite agglomerate, andesite breccia, andesite pyroclastics, sedimentary rocks"	2.3							0.24	0.6	0.5
Fengshandong		CINA	China	Hubei	18	48	29	30	26	115	115.4416667	29.805	20c	10th century					466	143.5	90	1	0.02	20	0.6	"Ge, C., Sun, H., and Zhou, T., 1990,  Copper deposits of China, in Mineral deposits of China, Volume 1: Geological Publishing House, Beijing, p. 1–106.Huang E., Zhang, N., and Luo, Z.,  1990,  The genesis of the Chengmenshan and Wushan copper deposits: Mineral Deposits, v. 9, no. 4, p. 291–300. (in Chinese, English abstract)Pan, Y., and Dong, P., 1999, The Lower Changjiang (Yangzi/Yangtze River) metallogenic belt, east central China: intrusion- and wall rock-hosted Cu–Fe–Au, Mo, Zn, Pb, Ag deposits: Ore Geology Reviews, v. 15, p. 177–242.Qui, X., Pei, R., Kejian, J., and Wu, X., 1989,  Geological characteristics of copper mineralization, Jiujiang-Ruichang Area, Jiangxi province, China:  Chinese Journal of Geochemistry, v. 8, no. 3, p. 228–244.Zhang, H., and Rui, Z., 1992,  Geologic setting of the porphyry copper deposits series of China: Acta Geologica Sinica, v. 5, no. 1, p. 59–73."	"biotite, bornite, chalcocite, chalcopyrite, chlorite, epidote, galena, garnet, gold, magnetite, molybdenite, pyrite, pyrrhotite, sericite, sphalerite, tetrahedrite, wollastonite "	138–149	"18b, 19a"		"breccia, skarn, granodiorite porphyry"		"andesite, carbonaceous shale, sandstone, volcaniclastic sedimentary rocks"										
Gegongnong		CINA	China	Xizhang (Tibet)		28	30		30	98	98.5	30.46666667	20c				Yes	"Yulong-Yunnan porpyry copper (molybdenum) belt. Resource 0.549 Mt at 0.5% Cu, 1 to 6 g/t Au, and 100 to 150 g/t Ag. "	601	43.5		0	0	0	0	"China NetTV Holdings Inc., 2004, Acquisition of Honglu a company with mining properties in China: http://www.gold.org.cn/english/news0714-1.htm, 3 p. Gu, X.X., Tang, J.X., Wang, C., Chen, J.P., and He, B.B., 2003, Himalayan magmatism and porphyry copper-molybdenum mineralisation in the Yulong ore belt, East Tibet: Mineralogy and Petrology, v. 78, p. 1–20. Hou, Z., Ma, H., Khin, Z., Zhang, Y., Wang, M., Wang, Z., Pan, G., and Tang, R., 2003, The Himalayan Yulong porphyry copper belt: product of large-scale strike-slip faulting in eastern Tibet: Economic Geology, v. 98, p. 125–145. Tang R., and Luo, H., 1995, The geology of Yulong porphyry (molybdenum) copper ore belt, Xizang (Tibet): No. 1 Party of Xizang Bureau of Geology and Mineral Resources, Beijing, Geological Publishing House, 320 p. (in Chinese with English summary). "		49–38			monzogranite porphyry		"agglomerate, andesite, andesite breccia, basalt, dacite, dacite tuff, rhyolite, tuff"										
