Lon     Lat     H       Tdis    Strike  Dip     AZconv  Vtot    Vc      Age     DesRat  Phi/100 Front   Name                              ArcName
-77.99  0.03    NULL    320     -167    26      79      68.4    62.7    14.7    27.9    4.1     n       CAYAMBE                           Colombia
-77.66  -0.08   NULL    355     -165    27      79      68.6    61.8    15.3    27.6    4.2     n       REVENTADOR                        Colombia
-78.46  0.04    NULL    260     -164    26      80      68.4    61.3    14.4    27.1    3.9     n       PULULAGUA                         Colombia
-78.60  -0.17   NULL    265     -165    25      80      68.5    62.0    15.0    26.6    4.0     y       GUAGUA_PICHINCHA                  Colombia
-78.62  -0.35   NULL    265     -167    25      80      68.6    63.1    15.5    26.4    4.1     n       ATACAZO                           Colombia
-78.25  -0.38   NULL    305     -170    25      80      68.7    64.4    15.7    27.0    4.2     n       CHACANA                           Ecuador
-78.14  -0.48   NULL    325     -170    25      80      68.8    64.5    16.2    26.8    4.3     n       ANTISANA                          Ecuador
-77.72  -0.43   NULL    325     -170    25      79      68.8    64.4    16.1    27.1    4.4     n       PAN_DE_AZUCAR                     Ecuador
-77.63  -0.54   NULL    325     -170    25      79      68.9    64.5    16.5    26.9    4.4     n       SUMACO                            Ecuador
-78.71  -0.66   NULL    275     -173    24      80      68.8    65.8    16.2    26.6    4.3     n       ILINIZA                           Ecuador
-78.44  -0.68   NULL    300     -175    24      80      68.9    66.5    16.4    26.7    4.4     n       COTOPAXI                          Ecuador
-78.90  -0.85   NULL    260     -175    23      80      69.0    66.6    16.6    26.2    4.4     y       QUILOTOA                          Ecuador
-78.44  -1.47   NULL    330     -175    20      80      69.5    67.1    18.3    22.6    4.1     y       TUNGURAHUA                        Ecuador
-78.61  -1.78   NULL    320     -175    15      80      69.7    67.3    18.9    17.9    3.4     y       TULABUG                           Ecuador
-78.33  -2.03   NULL    350     -175    12      80      69.9    67.5    19.7    14.5    2.9     n       SANGAY                            Ecuador
-71.17  -14.37  156     420     130     22      77      77.6    62.1    38.4    23.2    8.9     n       QUIMSACHATA                       Peru
-72.63  -15.23  92      255     132     18      78      77.8    63.2    38.7    19.7    7.6     y       NEVADOS_FIRURA                    Peru
-72.65  -15.52  84      220     127     18      78      77.9    59.0    38.9    18.5    7.2     y       COROPUNA                          Peru
-72.33  -15.42  95      250     130     20      78      77.9    61.8    38.9    21.3    8.3     y       ANDAHUA_VALLEY                    Peru
-71.85  -15.78  102     255     130     25      77      78.1    62.1    42.3    26.6    11.3    y       SABANCAYA                         Peru
-71.53  -16.19  99      245     131     28      77      78.3    63.2    42.8    29.5    12.6    y       NEVADO_CHACHANI                   Peru
-71.41  -16.29  98      245     128     28      77      78.3    60.7    42.9    28.7    12.3    y       EL_MISTI                          Peru
-70.90  -16.36  115     280     129     30      77      78.4    61.9    43.0    30.8    13.3    y       UBINAS                            Peru
-70.85  -16.61  102     265     124     31      77      78.5    57.5    43.0    29.4    12.6    y       HUAYNAPUTINA                      Peru
-70.60  -16.75  104     270     128     33      77      78.5    61.3    43.1    33.3    14.4    y       TICSANI                           Peru
-70.36  -17.02  100     265     135     35      77      78.7    67.0    43.2    38.1    16.5    y       TUTUPACA                          Peru
-70.20  -17.18  100     265     140     34      77      78.7    70.4    43.3    39.1    16.9    y       YUCAMANE                          Peru
-69.82  -17.47  104     280     145     33      76      78.8    73.4    43.4    40.2    17.4    y       NEVADOS_CASIRI                    Peru
-69.77  -17.72  95      270     145     34      76      78.9    73.5    43.4    41.2    17.9    y       TACORA                            Peru
-69.48  -17.87  104     285     150     35      76      79.0    75.9    43.5    43.1    18.7    y       LEXONE                            Peru
-69.03  -18.05  128     320     155     34      76      79.1    77.6    43.5    43.3    18.8    n       PATILLA_PATA                      North_Chile
-68.92  -17.92  142     335     155     34      76      79.1    77.6    43.5    43.6    18.9    n       NEVADO_ANALLAJSI                  North_Chile
-68.53  -18.25  161     355     160     33      76      79.2    78.8    45.0    42.3    19.1    n       MACIZO_DE_LARANCAGUA              North_Chile
-68.80  -18.32  138     325     160     33      76      79.2    78.8    45.0    42.4    19.1    n       MACIZO_DE_PACUNI                  North_Chile
-69.15  -18.17  114     300     155     33      76      79.1    77.7    43.5    42.3    18.4    n       PARINACOTA                        North_Chile
-69.05  -18.37  117     300     160     33      76      79.2    78.8    45.0    42.3    19.1    n       ACOTANGO                          North_Chile
-69.17  -18.42  106     285     160     33      76      79.2    78.7    45.0    42.4    19.1    y       GUALLATIRI                        North_Chile
-68.07  -18.50  182     380     160     32      76      79.3    78.9    47.5    41.6    19.8    n       CERRO_COLLUMA                     North_Chile
-68.75  -18.62  133     310     160     32      76      79.3    78.9    47.5    41.8    19.8    n       VOLCAN_DE_SACABAYA                North_Chile
-69.05  -18.73  109     275     160     32      76      79.3    78.9    47.5    41.8    19.9    y       VOLCAN_ARINTICA                   North_Chile
-68.53  -19.13  139     310     165     31      76      79.4    79.4    47.6    41.3    19.6    n       TATA_SABAYA                       North_Chile
-68.83  -19.15  117     280     165     31      76      79.4    79.4    47.6    41.3    19.7    y       ISLUGA                            North_Chile
-68.97  -19.42  102     255     165     31      76      79.5    79.5    47.5    41.0    19.5    y       PUCHULDIZA                        North_Chile
-68.65  -19.49  122     285     165     31      76      79.5    79.5    47.4    40.8    19.3    y       CERRO_PINA                        North_Chile
-66.48  -19.78  250     500     170     30      75      79.8    79.4    46.9    39.2    18.4    n       NUEVO_MUNDO                       North_Chile
-68.55  -20.73  101     275     175     29      76      79.9    78.9    47.4    38.6    18.3    y       IRRUPUTUNCU                       North_Chile
-68.63  -20.83  96      265     175     29      76      79.9    78.9    46.6    38.5    17.9    y       UNNAMED                           North_Chile
-68.20  -20.85  123     310     175     29      76      79.9    78.9    46.4    38.4    17.8    n       PAMPA_LUXSAR                      North_Chile
-68.48  -20.93  104     280     174     29      76      79.9    79.1    46.4    38.5    17.9    n       OLCA-PARUMA                       North_Chile
-68.47  -21.22  102     275     175     29      76      80.0    79.0    46.5    38.3    17.8    y       CERRO_AUCANQUILCHA                North_Chile
-67.75  -21.25  147     350     175     29      75      80.0    78.9    46.1    38.2    17.6    n       CERRO_SAN_AGUSTIN                 North_Chile
-68.18  -21.30  119     300     175     29      76      80.0    79.0    46.1    38.2    17.6    n       OLLAGUE                           North_Chile
-67.50  -21.50  161     370     175     29      75      80.1    79.0    45.7    38.0    17.4    n       CERRO_YUMIA                       North_Chile
-66.88  -21.60  199     435     175     29      75      80.2    79.0    45.5    37.7    17.2    n       ESCALA                            North_Chile
-66.50  -21.67  219     470     175     29      75      80.2    78.9    45.6    37.8    17.2    n       CERRO_SANTA_ISABEL                North_Chile
-67.47  -21.68  161     375     175     29      75      80.1    79.0    45.5    37.9    17.3    n       CERRO_MOIRO                       North_Chile
-68.23  -21.78  111     300     173     29      76      80.1    79.5    45.6    38.2    17.4    n       CERRO_DEL_AZUFRE                  North_Chile
-68.40  -21.88  101     280     174     28      76      80.1    79.3    45.5    37.8    17.2    y       SAN_PEDRO                         North_Chile
-67.90  -21.88  131     330     174     29      76      80.2    79.3    45.6    37.9    17.3    n       CERRO_CHASCON                     North_Chile
-68.15  -22.12  114     305     176     28      76      80.2    78.9    45.5    37.4    17.0    y       CHAO                              North_Chile
-68.10  -22.20  116     310     176     28      76      80.2    78.9    45.3    37.3    16.9    y       CERRO_TOCONCE                     North_Chile
-67.42  -22.25  158     380     175     28      75      80.3    79.1    45.0    37.0    16.7    n       QUETENA                           North_Chile
-67.22  -22.27  169     400     175     28      75      80.3    79.1    45.0    37.0    16.6    n       UTURUNCO                          North_Chile
-68.03  -22.35  120     320     176     28      76      80.3    79.0    44.9    36.9    16.6    y       TATIO                             North_Chile
-67.90  -22.43  127     335     176     28      76      80.3    79.0    44.9    36.7    16.5    y       CERROS_DE_TOCORPURI               North_Chile
-67.87  -22.57  128     335     176     27      76      80.3    79.0    44.8    36.4    16.3    n       PUTANA                            North_Chile
-67.88  -22.73  127     335     176     27      76      80.3    79.0    44.7    35.9    16.1    y       SAIRECABUR                        North_Chile
-67.88  -22.83  127     335     177     27      76      80.4    78.8    44.6    35.7    15.9    y       LICANCABUR                        North_Chile
-67.58  -22.88  144     370     175     27      75      80.4    79.3    44.5    35.8    15.9    n       GUAYAQUES                         North_Chile
-67.75  -23.00  134     355     176     27      76      80.4    79.1    44.4    35.7    15.8    y       PURICO_COMPLEX                    North-Central_Chile
-67.65  -23.23  138     365     176     27      75      80.4    79.1    44.3    35.8    15.9    n       COLACHI                           North-Central_Chile
-67.62  -23.30  140     365     175     27      75      80.5    79.4    44.2    35.9    15.8    n       ACAMARCHI                         North-Central_Chile
-67.67  -23.35  137     360     176     27      76      80.5    79.1    44.2    35.8    15.8    n       CERRO_OVERO                       North-Central_Chile
-67.73  -23.37  133     355     176     27      76      80.5    79.1    44.2    35.9    15.9    y       LASCAR                            North-Central_Chile
-67.70  -23.58  134     360     177     27      76      80.5    78.9    44.0    35.9    15.8    n       CHILIQUES                         North-Central_Chile
-67.53  -23.75  142     380     180     27      75      80.5    78.0    43.7    35.6    15.6    n       CORDON_DE_PUNTAS_NEGRAS           North-Central_Chile
-67.62  -23.85  137     370     180     27      76      80.6    78.0    43.6    35.6    15.5    n       CORDON_CHALVIRI                   North-Central_Chile
-67.95  -23.83  121     335     180     27      76      80.5    78.0    43.7    35.7    15.6    y       CERRO_TUJLE                       North-Central_Chile
-68.05  -24.18  117     325     -175    25      76      80.6    76.1    43.5    32.0    13.9    y       PULAR                             North-Central_Chile
-68.25  -24.18  108     305     -174    25      76      80.6    75.6    43.5    31.8    13.8    y       EL_NEGRILLAR                      North-Central_Chile
-67.77  -24.27  130     355     -176    25      76      80.6    76.5    43.5    32.3    14.0    n       ARACAR                            North-Central_Chile
-68.25  -24.40  109     310     -175    25      76      80.6    76.2    43.4    32.1    13.9    n       SOCOMPA                           North-Central_Chile
-68.60  -24.28  93      270     -175    25      76      80.6    76.2    43.4    32.1    13.9    y       LA_NEGRILLAR                      North-Central_Chile
-68.53  -24.72  100     285     -175    25      76      80.7    76.3    43.0    32.0    13.7    y       LLULLAILLACO                      North-Central_Chile
-66.48  -24.05  204     485     -175    25      75      80.6    75.7    43.3    31.7    13.7    n       CERRO_TUZGLE                      North-Central_Chile
-68.37  -25.08  109     300     -176    24      76      80.7    76.7    42.7    31.7    13.5    n       CERRO_ESCORIAL                    North-Central_Chile
-68.50  -25.17  103     290     -177    24      76      80.7    77.2    42.6    31.7    13.5    y       LASTARRIA                         North-Central_Chile
-68.52  -25.33  103     285     -178    24      76      80.8    77.6    42.5    31.6    13.4    y       CORDON_DEL_AZUFRE                 North-Central_Chile
-68.58  -25.42  100     285     -178    24      76      80.8    77.7    42.4    31.4    13.3    y       CERRO_BAYO                        North-Central_Chile
-68.00  -25.53  126     345     -179    24      76      80.8    77.9    42.2    31.2    13.2    n       VOLCAN_ANTOFALLA                  North-Central_Chile
-67.50  -26.08  146     395     -175    22      75      80.9    76.2    41.6    28.1    11.7    n       ANTOFAGASTA_DE_LA_SIERRA          North-Central_Chile
-68.58  -26.48  103     290     -173    19      76      80.9    75.6    41.5    25.1    10.4    y       SIERRA_NEVADA                     North-Central_Chile
-68.35  -26.62  112     310     -178    19      76      80.9    77.8    41.4    25.9    10.7    n       CERRO_EL_CONDOR                   North-Central_Chile
-68.15  -26.62  118     335     -175    19      76      80.9    76.4    41.3    25.1    10.4    n       PEINADO                           North-Central_Chile
-67.72  -26.77  131     375     180     19      76      80.9    78.4    40.9    25.5    10.4    n       ROBLEDO                           North-Central_Chile
-68.37  -26.80  111     310     180     19      76      80.9    78.5    41.1    25.4    10.4    n       FALSO_AZUFRE                      North-Central_Chile
-68.53  -27.12  106     300     180     18      76      81.0    78.6    40.7    23.7    9.6     y       NEVADOS_OJOS_DEL_SALADO           North-Central_Chile
-68.55  -27.20  106     300     180     17      76      81.0    78.6    40.7    23.3    9.5     y       TIPAS                             North-Central_Chile
-69.80  -33.40  110     275     -161    24      77      81.1    68.6    34.2    28.2    9.6     y       TUPUNGATITO                       Central_Chile
-69.90  -33.78  112     270     -164    26      77      81.1    70.8    33.9    31.0    10.5    y       SAN_JOSE                          Central_Chile
-69.83  -34.16  122     290     -163    27      77      81.1    70.1    33.6    31.9    10.7    y       MAIPO                             Central_Chile
-70.30  -34.61  106     265     -162    28      77      81.1    69.5    33.3    32.6    10.9    y       PALOMO                            Central_Chile
-70.35  -34.81  107     265     -162    28      77      81.1    69.5    33.0    32.7    10.8    y       TINGUIRIRICA                      Central_Chile
-70.57  -35.24  104     265     -164    28      77      81.0    71.0    32.5    33.6    10.9    y       PLANCHON-PETEROA                  Central_Chile
-70.80  -35.46  97      250     -164    28      77      81.0    71.0    32.2    33.5    10.8    y       MONDACA                           Central_Chile
-70.50  -35.56  113     280     -165    28      77      81.0    71.6    32.1    33.9    10.9    n       CALABOZOS                         Central_Chile
-70.75  -35.58  101     260     -164    28      77      81.0    71.0    32.1    33.5    10.8    n       DESCABEZADO_GRANDE                Central_Chile
-70.76  -35.65  102     260     -165    28      77      81.0    71.7    32.0    33.9    10.8    n       CERRO_AZUL_[QUIZAPU]              Central_Chile
-70.81  -35.73  101     260     -165    28      77      81.0    71.7    31.9    33.8    10.8    y       LOS_HORNITOS                      Central_Chile
-70.58  -36.02  117     290     -166    28      77      81.0    72.2    31.6    33.8    10.7    n       LAGUNA_DEL_MAULE                  Central_Chile
-70.85  -35.99  103     265     -166    28      77      81.0    72.3    31.5    33.9    10.7    n       SAN_PEDRO-PELLADO                 Central_Chile
-71.16  -36.19  91      250     -168    28      77      81.0    73.6    31.4    34.4    10.8    y       NEVADO_DE_LONGAVI                 Central_Chile
-71.01  -36.29  99      265     -168    28      77      80.9    73.6    31.3    34.3    10.7    n       LOMA_BLANCA                       Central_Chile
-69.20  -36.42  NULL    425     -168    28      76      80.9    72.9    31.2    34.1    10.6    n       CERRO_PAYUN_MATRU                 Central_Chile
-70.92  -36.45  106     280     -168    28      77      80.9    73.5    31.0    34.3    10.6    n       VOLCAN_RESAGO                     Central_Chile
-70.42  -36.63  134     330     -168    28      77      80.9    73.3    30.8    34.4    10.6    n       VOLCAN_DOMUYO                     Central_Chile
-71.38  -36.86  88      255     -171    28      78      80.9    75.3    30.7    35.5    10.9    y       NEVADOS_DE_CHILLAN                Central_Chile
-70.03  -37.14  NULL    380     -172    29      77      80.8    75.4    30.2    36.0    10.9    n       TROMEN                            Central_Chile
-71.35  -37.41  94      270     -173    29      78      80.8    76.2    30.1    37.4    11.3    y       ANTUCO                            Central_Chile
-69.62  -37.55  NULL    425     -173    30      77      80.8    75.7    29.8    37.4    11.1    n       PUESTO_CORTADERAS                 Central_Chile
-71.17  -37.85  109     300     -174    30      77      80.8    76.5    29.7    38.5    11.4    n       COPAHUE                           South-Central_Chile
-71.45  -37.92  92      275     -176    30      78      80.7    77.4    29.7    38.8    11.5    y       CALLAQUI                          South-Central_Chile
-71.64  -38.31  84      265     -177    30      78      80.7    77.8    29.0    39.1    11.3    y       TOLGUACA                          South-Central_Chile
-71.58  -38.38  87      270     -177    30      78      80.7    77.8    28.3    39.2    11.1    n       LONQUIMAY                         South-Central_Chile
-71.08  -38.37  120     315     -176    30      77      80.7    77.3    28.0    38.7    10.8    n       CERRO_CHAPULUL                    South-Central_Chile
-71.73  -38.69  81      260     -175    30      78      80.6    77.0    27.4    39.0    10.7    y       LLAIMA                            South-Central_Chile
-71.52  -38.97  93      280     -174    31      78      80.6    76.5    26.0    39.0    10.2    n       SOLLIPULLI                        South-Central_Chile
-71.83  -39.20  80      255     -172    31      78      80.6    75.6    25.0    39.3    9.8     y       CABURGUA                          South-Central_Chile
-71.70  -39.27  87      270     -171    31      78      80.5    75.0    24.5    39.0    9.5     n       CERRO_REDONDO                     South-Central_Chile
-71.82  -39.30  81      260     -171    31      78      80.5    75.0    24.5    39.1    9.6     n       HUELEMOLLE                        South-Central_Chile
-71.93  -39.42  78      255     -171    32      78      80.5    75.1    24.2    39.6    9.6     y       VILLARRICA                        South-Central_Chile
-71.70  -39.50  89      275     -169    32      78      80.5    73.9    24.0    39.2    9.4     n       QUETRUPILLAN                      South-Central_Chile
-71.50  -39.63  103     295     -168    33      78      80.5    73.2    23.6    39.4    9.3     n       LANIN                             South-Central_Chile
-71.55  -39.87  105     300     -168    33      78      80.4    73.2    23.3    40.0    9.3     n       HUANQUIHUE_GROUP                  South-Central_Chile
-72.03  -39.93  78      260     -170    34      78      80.4    74.5    23.2    41.9    9.7     y       MOCHO-CHOSHUENCO                  South-Central_Chile
-72.07  -40.35  82      255     -168    36      78      80.4    73.3    22.3    43.2    9.6     y       CARRAN-LOS_VENADOS                South-Central_Chile
-72.20  -40.52  77      245     -167    37      78      80.3    72.7    22.0    43.7    9.6     y       CORDON_CAULLE                     South-Central_Chile
-72.12  -40.59  83      255     -166    37      78      80.3    72.1    21.7    43.4    9.4     n       PUYEHUE                           South-Central_Chile
-72.04  -40.53  87      260     -167    37      78      80.3    72.7    21.9    43.6    9.6     n       MENCHECA                          South-Central_Chile
-71.95  -40.77  97      270     -163    38      78      80.3    70.0    21.2    42.8    9.1     n       CERRO_PANTOJA                     South-Central_Chile
-72.15  -40.77  85      255     -164    38      78      80.3    70.8    21.1    43.2    9.1     n       ANTILLANCA_GROUP                  South-Central_Chile
-72.26  -40.97  82      240     -164    38      78      80.2    70.8    20.8    43.8    9.1     y       PUNTIGUIDO-CORDON_CENIZOS         South-Central_Chile
-72.49  -41.10  72      220     -166    39      78      80.2    72.1    20.6    44.9    9.3     y       OSORNO                            South-Central_Chile
-72.61  -41.33  69      210     -169    39      78      80.2    73.8    20.0    46.2    9.2     y       CALBUCO                           South-Central_Chile
-72.27  -41.25  88      240     -167    38      78      80.2    72.6    19.9    45.0    9.0     n       CAYUTE-LA_VIGUERIA                South-Central_Chile
-72.40  -41.76  87      230     -173    39      78      80.1    75.7    18.3    47.2    8.6     n       MT._YATE                          South-Central_Chile
-72.43  -41.87  86      230     -174    39      78      80.0    76.1    18.0    47.8    8.6     y       VOLCAN_HORNOPIREN                 South-Central_Chile
-71.65  -42.07  NULL    295     -174    NULL    78      80.0    75.9    16.7    NULL    NULL    n       CERRO_VOLCANICO                   South_Chile
-72.58  -42.38  NULL    220     -173    NULL    78      79.9    75.6    16.0    NULL    NULL    y       HUEQUI                            South_Chile
-72.43  -42.78  NULL    240     -172    NULL    78      79.8    75.0    14.5    NULL    NULL    n       MINCHINMAVIDA                     South_Chile
-72.65  -42.83  NULL    220     -172    NULL    78      79.8    75.0    14.5    NULL    NULL    y       CHAITEN                           South_Chile
-72.80  -43.18  NULL    215     -172    NULL    78      79.7    75.0    13.2    NULL    NULL    y       CORCOVADO                         South_Chile
-72.83  -43.42  NULL    215     -172    NULL    78      79.7    74.9    12.2    NULL    NULL    y       CERRO_YANTELES                    South_Chile
-72.50  -43.68  NULL    240     -172    NULL    78      79.6    74.8    11.0    NULL    NULL    n       PALENA_VOLC_GROUP                 South_Chile
-72.88  -44.08  NULL    220     -172    NULL    78      79.5    74.8    9.0     NULL    NULL    y       MELIMOYU                          South_Chile
-72.53  -44.30  NULL    250     -172    NULL    78      79.4    74.6    7.0     NULL    NULL    n       PUYUHUAPI                         South_Chile
-73.08  -44.67  NULL    215     -172    NULL    78      79.3    74.7    5.0     NULL    NULL    y       MENTOLAT                          South_Chile
-73.20  -45.10  NULL    210     -172    NULL    78      79.2    74.6    3.0     NULL    NULL    y       MACA                              South_Chile
-92.11  15.13   95      200     113     48      18      62.6    62.4    15.9    46.3    7.4     y       TACANA                            Guatemala/El_Salvador
-91.90  15.04   94      205     112     50      18      63.1    63.0    16.0    48.3    7.7     y       TAJUMULCO                         Guatemala/El_Salvador
-91.55  14.76   79      195     117     53      19      64.0    63.3    16.2    50.7    8.2     n       SANTA_MARIA                       Guatemala/El_Salvador
-91.57  14.75   77      195     116     53      19      64.0    63.4    16.2    50.5    8.2     y       SANTIAGUITO                       Guatemala/El_Salvador
-91.52  14.80   86      200     119     54      19      64.0    63.1    16.3    50.7    8.3     n       CERRO_QUEMADO                     Guatemala/El_Salvador
-91.62  14.81   81      195     116     53      19      63.8    63.3    16.3    50.5    8.2     n       SIETE_OREJAS                      Guatemala/El_Salvador
-91.66  14.79   77      190     115     52      19      63.8    63.4    16.3    49.9    8.1     y       CHICABAL                          Guatemala/El_Salvador
-91.18  14.58   82      195     123     55      19      64.9    62.9    16.6    51.5    8.6     y       ATITLAN                           Guatemala/El_Salvador
-91.18  14.62   88      200     123     55      19      64.8    62.7    16.5    51.2    8.4     n       TOLIMAN                           Guatemala/El_Salvador
-91.27  14.66   86      200     121     55      19      64.6    63.2    16.6    51.7    8.6     y       SAN_PEDRO                         Guatemala/El_Salvador
-91.18  14.58   82      195     123     55      19      64.9    62.9    16.6    51.5    8.6     y       LOS_CHOCOYOS                      Guatemala/El_Salvador
-89.63  14.55   NULL    260     112     55      18      67.9    67.8    17.6    55.7    9.8     n       IPALA                             Guatemala/El_Salvador
-90.88  14.48   94      195     122     55      19      65.5    63.9    16.8    52.4    8.8     y       FUEGO                             Guatemala/El_Salvador
-90.88  14.50   98      200     122     55      19      65.5    63.8    16.8    52.4    8.8     y       ACATENANGO                        Guatemala/El_Salvador
-90.75  14.47   106     205     120     55      19      65.8    64.6    17.0    53.0    9.0     y       AGUA                              Guatemala/El_Salvador
-90.60  14.38   106     200     118     56      19      66.1    65.4    17.1    54.4    9.3     y       PACAYA                            Guatemala/El_Salvador
-90.27  14.33   127     210     114     55      19      66.8    66.6    17.2    54.4    9.4     n       JUMATEPEQUE                       Guatemala/El_Salvador
-90.42  14.15   86      185     121     55      19      66.7    65.2    17.2    53.1    9.1     y       TECUAMBURRO                       Guatemala/El_Salvador
-90.10  14.03   94      190     120     56      19      67.4    66.1    17.5    54.5    9.5     y       MOYUTA                            Guatemala/El_Salvador
-89.63  13.85   105     185     120     55      20      68.4    67.4    17.7    55.0    9.7     y       SANTA_ANA                         Guatemala/El_Salvador
-89.80  13.84   92      180     121     55      20      68.1    66.7    17.7    54.7    9.7     y       APANECA                           Guatemala/El_Salvador
-89.63  13.82   101     180     119     55      20      68.4    67.5    17.7    55.5    9.8     y       IZALCO                            Guatemala/El_Salvador
-89.63  13.83   102     180     119     56      20      68.4    67.4    17.7    55.7    9.9     y       CERRO_VERDE                       Guatemala/El_Salvador
-89.60  13.82   103     180     119     56      20      68.5    67.6    17.7    55.8    9.9     y       CONEJO                            Guatemala/El_Salvador
-89.58  13.81   103     180     118     56      20      68.5    67.8    17.7    56.0    9.9     y       SAN_MARCELINO                     Guatemala/El_Salvador
-89.28  13.73   110     180     112     58      20      69.2    69.1    17.7    58.4    10.3    y       BOQUERON                          Guatemala/El_Salvador
-89.05  13.67   115     180     113     60      20      69.6    69.6    17.8    60.1    10.7    y       ILOPANGO                          Guatemala/El_Salvador
-89.05  13.67   115     180     113     60      20      69.6    69.6    17.9    60.1    10.8    y       ISLAS_QUEMADAS                    Guatemala/El_Salvador
-88.85  13.62   120     180     114     61      20      70.1    69.9    17.9    61.2    10.9    y       SAN_VICENTE                       Guatemala/El_Salvador
-88.77  13.72   144     195     116     61      20      70.2    69.7    17.9    60.9    10.9    n       APASTAPEQUE                       Guatemala/El_Salvador
-88.50  13.50   126     180     114     63      20      70.8    70.6    18.1    62.8    11.4    n       TECAPA                            Guatemala/El_Salvador
-88.47  13.42   115     175     114     63      20      70.9    70.8    18.1    62.9    11.4    y       USULUTAN                          Guatemala/El_Salvador
-88.53  13.49   122     180     114     63      20      70.8    70.6    18.1    62.7    11.4    n       BERLIN                            Guatemala/El_Salvador
-88.53  13.47   119     175     114     63      20      70.8    70.6    18.1    62.9    11.4    n       TIGRE                             Guatemala/El_Salvador
-88.53  13.44   114     175     113     63      20      70.8    70.7    18.1    62.9    11.4    y       TABURETE                          Guatemala/El_Salvador
-88.27  13.43   132     185     115     63      20      71.3    71.0    18.2    63.2    11.5    y       SAN_MIGUEL                        Guatemala/El_Salvador
-88.32  13.48   138     185     114     63      20      71.2    71.0    18.1    63.5    11.5    n       CHINAMECA                         Guatemala/El_Salvador
-88.13  13.43   147     190     117     63      20      71.6    71.0    18.2    63.5    11.6    y       ARAMUACA                          Guatemala/El_Salvador
-87.63  13.27   174     195     121     62      20      72.6    71.4    18.2    63.2    11.5    n       EL_TIGRE                          Guatemala/El_Salvador
-87.85  13.28   146     185     119     64      20      72.2    71.3    18.2    63.9    11.6    y       CONCHAGUA                         Guatemala/El_Salvador
-87.77  13.23   144     185     119     63      20      72.4    71.5    18.2    63.9    11.6    y       CONCHAGUITA                       Guatemala/El_Salvador
-87.71  13.20   145     185     121     63      20      72.5    71.2    18.2    63.6    11.6    y       MEANGUERA                         Nicaragua
-87.57  12.98   116     170     122     62      20      73.0    71.6    18.2    63.3    11.5    y       COSIGUINA                         Nicaragua
-87.00  12.70   134     175     124     61      21      74.2    72.2    17.9    63.1    11.3    y       SAN_CRISTOBAL                     Nicaragua
-86.97  12.70   138     180     124     61      21      74.3    72.3    17.9    63.0    11.3    y       CASITA                            Nicaragua
-86.85  12.60   133     180     124     61      21      74.6    72.7    17.8    63.3    11.3    y       TELICA                            Nicaragua
-86.82  12.57   131     180     124     61      21      74.7    72.8    17.8    63.8    11.4    y       SANTA_CLARA                       Nicaragua
-86.75  12.55   137     180     124     61      21      74.8    72.7    17.8    63.5    11.3    y       ROTA                              Nicaragua
-86.68  12.50   136     180     124     61      21      75.0    72.9    17.7    63.9    11.3    y       LAS_PILAS                         Nicaragua
